9/16/2016 14:40:43	 # For reference only.  This entire column is a COMMENT!	/mods/extension/dg_importIndex	/mods/identifier[@type='local']	/mods/subject/cartographics/coordinates	/mods/titleInfo/title	/mods/titleInfo[@type='alternative']/title	/mods/name[1]/namePart	/mods/originInfo/dateCreated	/mods/originInfo/dateIssued	/mods/abstract	/mods/note	/mods/subject[@authority='lcsh']/topic	/mods/subject/topic	# ignored	/mods/classification[@authority='local']	/mods/location/shelfLocator	/mods/physicalDescrption/note	/mods/note[@type='reproduction info']		/mods/note[@type='provenance']	# replaced in constants	/mods/originInfo/publisher	OBJ	/mods/genre	/mods/originInfo/dateCaptured		/mods/extension/note[1][@displayLabel='Recorded By']	/mods/extension/note[2][@displayLabel='Modified By']
# grinnell:14460	 grinnell:14460	1192	ms107_br008	41.728498,-92.445293	First National Bank, Brooklyn, Iowa			1920	1908-1920	Front Street looking northeast. Built in 1908 the First National Bank was considered the town’s most distinguished business building of the time, at a cost of $16,000. In 1919 is was known as the second largest bank in Poweshiek County.|In 1925 a notice was posted on the bank door announcing it was closed by the board of directors and turned over to a federal bank examiner.	Real photo reprint, divided back.|Thesaurus for graphic materials I: subject terms (TGMI) & Brooklyn Chamber of Commerce website (http://www.brooklyniowa.com/historical.htm)	Poweshiek County (Iowa)|Brooklyn (Iowa)|Financial facilities|Banks|Vehicles|Automobiles|Fire hydrants	On the corner of Jackson & Front Streets, Brooklyn, Poweshiek County, Iowa	Reproduction not available	MS 107, http://www.lib.grinnell.edu/collections/specialcollections/Manuscripts/findingaids/SheetsMss.html	MS 107, isc_powbr008	1 postcard, b&w, 9 x 14 cm.	Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format.	2006-09-19	Purchased from Ivan Sheets	http://pdid.grinnell.edu/collectioninfo.aspx	A. H. Co.|	lib_isc_powbr008-sc.jpg	Postcards	2007-06-22	2016-08-31	Sharon Clayton	Sharon Clayton
# grinnell:14459	 grinnell:14459	1191	ms107_br009	41.728498,-92.445293	First National Bank, Brooklyn, Iowa			1915	1908-1915	Front Street looking northeast. Built in 1908 the First National Bank was considered the town’s most distinguished business building of the time, at a cost of $16,000. In 1919 is was known as the second largest bank in Poweshiek County.|In 1925 a notice was posted on the bank door announcing it was closed by the board of directors and turned over to a federal bank examiner.	Real photo, divided back. Printed in Germany.|Thesaurus for graphic materials I: subject terms (TGMI) & Brooklyn Chamber of Commerce website (http://www.brooklyniowa.com/historical.htm)	Poweshiek County (Iowa)|Brooklyn (Iowa)|Financial facilities|Banks|Vehicles|Carriages & coaches|Fire hydrants	On the corner of Jackson & Front Streets, Brooklyn, Poweshiek County, Iowa	Reproduction not available	MS 107, http://www.lib.grinnell.edu/collections/specialcollections/Manuscripts/findingaids/SheetsMss.html	MS 107, isc_powbr009	1 postcard, b&w, 9 x 14 cm.	Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format.	2006-09-19	Purchased from Ivan Sheets	http://pdid.grinnell.edu/collectioninfo.aspx	Hamilton, J.M. (Monmouth, Ill.)|	lib_isc_powbr009-sc.jpg	Postcards	2007-06-22	2016-08-31	Sharon Clayton	Sharon Clayton
# grinnell:13850	 grinnell:13850	583	ms107_br010	41.727961, -92.449031	Business street, Brooklyn, Iowa	Front Street|		1915	1908-1915	Front Street looking northeast.|	Real photo reprint, divided back. Printed in Germany.|Thesaurus for graphic materials I: subject terms (TGMI)	Poweshiek County (Iowa)|Brooklyn (Iowa)|Commercial streets|Commercial facilities|Business districts|Stores & shops|Barbershops	Front Street, Brooklyn, Poweshiek County, Iowa	Reproduction not available	MS 107, http://www.lib.grinnell.edu/collections/specialcollections/Manuscripts/findingaids/SheetsMss.html	MS 107, isc_powbr010	1 postcard, b&w, 9 x 14 cm.	Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format.	2006-09-19	Purchased from Ivan Sheets	http://pdid.grinnell.edu/collectioninfo.aspx	Hamilton, J.M. (Monmouth, Ill.)|	lib_isc_powbr010-sc.jpg	Postcards	2007-06-22	2016-08-31	Sharon Clayton	Sharon Clayton
# grinnell:13849	 grinnell:13849	582	ms107_br011	41.727961, -92.449031	Business Street, Brooklyn, Iowa	Front Street|		1910	1910?	Jackson Street looking south. 1910 postmark.|	Real photo, divided back. Printed in Germany.|Thesaurus for graphic materials I: subject terms (TGMI)	Poweshiek County (Iowa)|Brooklyn (Iowa)|Commercial streets|Commercial facilities|Business districts|Vehicles|Carts & wagons	Front Street, Brooklyn, Poweshiek County, Iowa	Reproduction not available	MS 107, http://www.lib.grinnell.edu/collections/specialcollections/Manuscripts/findingaids/SheetsMss.html	MS 107, isc_powbr011	1 postcard, b&w, 9 x 14 cm.	Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format.	2006-09-19	Purchased from Ivan Sheets	http://pdid.grinnell.edu/collectioninfo.aspx	Hamilton, J.M. (Monmouth, Ill.)|	lib_isc_powbr011-sc.jpg	Postcards	2007-06-22	2016-08-31	Sharon Clayton	Sharon Clayton
# grinnell:14029	 grinnell:14029	762	ms107_br012	41.727961, -92.449031	Front Street west, Brooklyn, Iowa			1920	1910-1920	Front Street looking west. Number 6.|	Real photo, divided back.|Thesaurus for graphic materials I: subject terms (TGMI)	Poweshiek County (Iowa)|Brooklyn (Iowa)|Commercial streets|Commercial facilities|Business districts|Vehicles|Carts & wagons	Front Street, Brooklyn, Poweshiek County, Iowa	Reproduction not available	MS 107, http://www.lib.grinnell.edu/collections/specialcollections/Manuscripts/findingaids/SheetsMss.html	MS 107, isc_powbr012	1 postcard, b&w, 9 x 14 cm.	Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format.	2006-09-19	Purchased from Ivan Sheets	http://pdid.grinnell.edu/collectioninfo.aspx	Norton's Photo (Cedar Rapids, Iowa)|KRUXO	lib_isc_powbr012-sc.jpg	Postcards	2007-06-22	2016-08-31	Sharon Clayton	Sharon Clayton
# grinnell:13351	 grinnell:13351	84	ms107_br014	41.728229, -92.446901	Brooklyn historical hotel, Brooklyn, Iowa	Hotel Brooklyn|Stephenson House|Hospital|Brooklyn Hotel|		1990	1980-1990	Hotel Brooklyn was built as a home in 1875. The original builder used the building as a saloon before it became a hotel known as the "Stephenson House". Listed on the National Register of Historic Places. Number 861057.|Dr. C. D. Busby purchased the hotel and made it not only his residence but also turned it into a hospital. He later closed the hospital, but continued to live there. It was later used again as a hotel and restaurant.	Color lithograph print, divided back.|Thesaurus for graphic materials I: subject terms (TGMI) & Brooklyn Chamber of Commerce website (http://www.brooklyniowa.com/historical.htm)	Poweshiek County (Iowa)|Brooklyn (Iowa)|Public accommodation facilities|Hotels|Health care facilities|Hospitals|Eating & drinking facilities	154 West Front Street, Brooklyn, Poweshiek County, Iowa	Reproduction not available	MS 107, http://www.lib.grinnell.edu/collections/specialcollections/Manuscripts/findingaids/SheetsMss.html	MS 107, isc_powbr014	1 postcard, color, 9 x 14 cm.	Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format.	2006-09-18	Purchased from Ivan Sheets	http://pdid.grinnell.edu/collectioninfo.aspx	A & H Directory Co. (Fairmont, Minn.)|McGrew Color Graphics (Kansas City, Mo.)	lib_isc_powbr014-sc.jpg	Postcards	2007-06-22	2016-08-31	Sharon Clayton	Sharon Clayton
# grinnell:13349	 grinnell:13349	82	ms107_br017	41.731572, -92.445364	Main Street, Brooklyn, Iowa	I.O.O.F. Hall|IOOF Hall|Independent Order of Odd Fellows Hall|Main Street|Front Street|		1910	1910?	|	Real photo reprint, divided back. Printed in Germany|Thesaurus for graphic materials I: subject terms (TGMI)	Poweshiek County (Iowa)|Brooklyn (Iowa)|Commercial streets|Commercial facilities|Business districts|Clocks|		Reproduction not available	MS 107, http://www.lib.grinnell.edu/collections/specialcollections/Manuscripts/findingaids/SheetsMss.html	MS 107, isc_powbr017	1 postcard, b&w, 9 x 14 cm.	Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format.	2006-09-19	Purchased from Ivan Sheets	http://pdid.grinnell.edu/collectioninfo.aspx	Hamilton, J.M. (Monmouth, Ill.)|	lib_isc_powbr017-sc.jpg	Postcards	2007-06-22	2016-08-31	Sharon Clayton	Sharon Clayton
# grinnell:13651	 grinnell:13651	384	ms107_br018	41.731572, -92.445364	Souvenir from Brooklyn, Iowa	Seashell|		1920	1900-1920	Embossed card with seashell and a seashore with a sunset and sailboat.|	Color artwork, divided back. Made in Germany|Thesaurus for graphic materials I: subject terms (TGMI)	Poweshiek County (Iowa)|Brooklyn (Iowa)|Embossed prints|Greeting cards|Seashells|Beaches|Sailboats		Reproduction not available	MS 107, http://www.lib.grinnell.edu/collections/specialcollections/Manuscripts/findingaids/SheetsMss.html	MS 107, isc_powbr018	1 postcard, color, 9 x 14 cm.	Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format.	2006-09-19	Purchased from Ivan Sheets	http://pdid.grinnell.edu/collectioninfo.aspx	|	lib_isc_powbr018-sc.jpg	Postcards	2007-06-22	2016-08-31	Sharon Clayton	Sharon Clayton
# grinnell:13496	 grinnell:13496	229	ms107_br019	41.731572, -92.445364	Greetings from Brooklyn, Iowa	Flower|Iris|		1906	1906?	Embossed card with purple iris flower. 1906 postmark.|	Color artwork, divided back.|Thesaurus for graphic materials I: subject terms (TGMI)	Poweshiek County (Iowa)|Brooklyn (Iowa)|Embossed prints|Greeting cards|Flowers|Irises|		Reproduction not available	MS 107, http://www.lib.grinnell.edu/collections/specialcollections/Manuscripts/findingaids/SheetsMss.html	MS 107, isc_powbr019	1 postcard, color, 9 x 14 cm.	Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format.	2006-09-19	Purchased from Ivan Sheets	http://pdid.grinnell.edu/collectioninfo.aspx	|	lib_isc_powbr019-sc.jpg	Postcards	2007-06-22	2016-08-31	Sharon Clayton	Sharon Clayton
# grinnell:13391	 grinnell:13391	124	ms107_br020	41.728229, -92.446901	Hospital, Brooklyn, Iowa	Hotel Brooklyn|Stephenson House|Brooklyn Hotel|		1907	1907?	The hospital was built as a home in 1875. The original builder used the building as a saloon before it became a hotel known as the "Stephenson House". Listed on the National Register of Historic Places. 1907 postmark.|Dr. C. D. Busby purchased the hotel and made it not only his residence but also turned it into a hospital. He later closed the hospital, but continued to live there. It was later used again as a hotel and restaurant.	Real photo, undivided back.|Thesaurus for graphic materials I: subject terms (TGMI) & Brooklyn Chamber of Commerce website (http://www.brooklyniowa.com/historical.htm)	Poweshiek County (Iowa)|Brooklyn (Iowa)|Health care facilities|Hospitals|Public accommodations|Hotels|Eating & drinking facilities	154 West Front Street, Brooklyn, Poweshiek County, Iowa	Reproduction not available	MS 107, http://www.lib.grinnell.edu/collections/specialcollections/Manuscripts/findingaids/SheetsMss.html	MS 107, isc_powbr020	1 postcard, b&w, 9 x 14 cm.	Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format.	2006-09-19	Purchased from Ivan Sheets	http://pdid.grinnell.edu/collectioninfo.aspx	Messer & Beeh (Victor, Iowa)|	lib_isc_powbr020-sc.jpg	Postcards	2007-06-22	2016-08-31	Sharon Clayton	Sharon Clayton
# grinnell:14028	 grinnell:14028	761	ms107_br023	41.733581, -92.446378	Oklahoma addition, Brooklyn, Iowa			1909	1909?	1909 postmark.|	Color lithograph print, divided back.|Thesaurus for graphic materials I: subject terms (TGMI)	Poweshiek County (Iowa)|Brooklyn (Iowa)|Residential streets|Residential facilities|Houses|		Reproduction not available	MS 107, http://www.lib.grinnell.edu/collections/specialcollections/Manuscripts/findingaids/SheetsMss.html	MS 107, isc_powbr023	1 postcard, color, 9 x 14 cm.	Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format.	2006-09-19	Purchased from Ivan Sheets	http://pdid.grinnell.edu/collectioninfo.aspx	(Brooklyn, Iowa)|	lib_isc_powbr023-sc.jpg	Postcards	2007-06-22	2016-08-31	Sharon Clayton	Sharon Clayton
# grinnell:13918	 grinnell:13918	651	ms107_br025	41.728217, -92.446244	Brooklyn High School cheer, Brooklyn, Iowa	B.H.S.		1908	c1908	Card has small school banner with cheer: "Whoop em! Skoop em! Thru and thru. We do! We do! Why don't you? Always loyal, always true, B.H.S. scarlet and blue"--t.p.. Copyright 1908 with Acmegraph Co. Number 015.|	Drawing and banner with school colors, divided back.|Thesaurus for graphic materials I: subject terms (TGMI)	Poweshiek County (Iowa)|Brooklyn (Iowa)|Advertising cards|Educational facilities|Public schools|		Reproduction not available	MS 107, http://www.lib.grinnell.edu/collections/specialcollections/Manuscripts/findingaids/SheetsMss.html	MS 107, isc_powbr025	1 postcard, b&w, 9 x 14 cm.	Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format.	2006-09-19	Purchased from Ivan Sheets	http://pdid.grinnell.edu/collectioninfo.aspx	Acmegraph Co. (Chicago, Ill.)|	lib_isc_powbr025-sc.jpg	Postcards	2007-06-22	2016-08-31	Sharon Clayton	Sharon Clayton
# grinnell:14027	 grinnell:14027	760	ms107_br026	41.731572, -92.445364	High School, Brooklyn, Iowa			1910	1900-1910	Front view of two story brick school house with bell tower.|	Color lithograph print, divided back. Printed in Germany.|Thesaurus for graphic materials I: subject terms (TGMI)	Poweshiek County (Iowa)|Brooklyn (Iowa)|Educational facilities|Public schools|		Reproduction not available	MS 107, http://www.lib.grinnell.edu/collections/specialcollections/Manuscripts/findingaids/SheetsMss.html	MS 107, isc_powbr026	1 postcard, color, 9 x 14 cm.	Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format.	2006-09-19	Purchased from Ivan Sheets	http://pdid.grinnell.edu/collectioninfo.aspx	Hamilton, J.M. (Monmouth, Ill.)|	lib_isc_powbr026-sc.jpg	Postcards	2007-06-22	2016-08-31	Sharon Clayton	Sharon Clayton
# grinnell:13623	 grinnell:13623	356	ms107_calro009	42.398163 ,-94.628879	Rockwell City Tourist Court, Rockwell City, Iowa	Texaco Gas Station|		1943	1943?	View of Texaco service station with "modern" hotel cabins in back. 1943 postmark.|	Real photo, undivided back.|Thesaurus for graphic materials I: subject terms (TGMI)	Calhoun County (Iowa)|Rockwell City (Iowa)|Transportation facilities|Automobile service stations|Gasoline pumps|Public accommodation facilities|Motels		Reproduction not available	MS 107, http://www.lib.grinnell.edu/collections/specialcollections/Manuscripts/findingaids/SheetsMss.html	MS 107, isc_calro009	1 postcard, b&w, 9 x 14 cm.	Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format.	2006-09-21	Purchased from Ivan Sheets	http://pdid.grinnell.edu/collectioninfo.aspx	|	lib_isc_calro009-sc.jpg	Postcards	2007-07-02	2016-08-31	Sharon Clayton	Sharon Clayton
# grinnell:14026	 grinnell:14026	759	ms107_casan001	41.4445379,-94.7659824	Street Scene in Anita, Iowa	Citizens Bank|		1906	1906?	Looking northeast on Highway IA83. Citizens Bank building is on the left. 1906 postmark.|	Real photo reprint, undivided back.|Thesaurus for graphic materials I: subject terms (TGMI)	Cass County (Iowa)|Anita (Iowa)|Commercial streets|Commercial facilities|Business districts|Financial facilities|Banks		Reproduction not available	MS 107, http://www.lib.grinnell.edu/collections/specialcollections/Manuscripts/findingaids/SheetsMss.html	MS 107, isc_casan001	1 postcard, b&w, 9 x 14 cm.	Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format.	2006-09-21	Purchased from Ivan Sheets	http://pdid.grinnell.edu/collectioninfo.aspx	|	lib_isc_casan001-sc.jpg	Postcards	2007-07-02	2016-08-31	Sharon Clayton	Sharon Clayton
# grinnell:14025	 grinnell:14025	758	ms107_ch001	43.066361,-92.672411	Big Elm Motel, Charles City, Iowa	|		1960	1950-1960	View of several cabins. Number 3A430.|	Real photo, divided back.|Thesaurus for graphic materials I: subject terms (TGMI)	Floyd County (Iowa)|Charles City (Iowa)|Public accommodation facilities|Motels|Offices|	906 Gilbert Street, Charles City, Floyd County, Iowa	Reproduction not available	MS 107, http://www.lib.grinnell.edu/collections/specialcollections/Manuscripts/findingaids/SheetsMss.html	MS 107, isc_flch001	1 postcard, b&w, 9 x 14 cm.	Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format.	2007-04-16	Purchased from Ivan Sheets	http://pdid.grinnell.edu/collectioninfo.aspx	L.L. Cook Co. (Milwaukee, Wis.)|Kodak Paper	lib_isc_flch001-sc.jpg	Postcards	2007-06-25	2016-08-31	Sharon Clayton	Sharon Clayton
# grinnell:14024	 grinnell:14024	757	ms107_ch002	43.066361,-92.672411	Big Elm Motel, Charles City, Iowa	|		1960	1950-1960	View of several cabins and motel office. Number 3A431.|	Real photo, divided back.|Thesaurus for graphic materials I: subject terms (TGMI)	Floyd County (Iowa)|Charles City (Iowa)|Public accommodation facilities|Motels|Offices|	906 Gilbert Street, Charles City, Floyd County, Iowa	Reproduction not available	MS 107, http://www.lib.grinnell.edu/collections/specialcollections/Manuscripts/findingaids/SheetsMss.html	MS 107, isc_flch002	1 postcard, b&w, 9 x 14 cm.	Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format.	2006-09-21	Purchased from Ivan Sheets	http://pdid.grinnell.edu/collectioninfo.aspx	L.L. Cook Co. (Milwaukee, Wis.)|Kodak Paper	lib_isc_flch002-sc.jpg	Postcards	2007-06-25	2016-08-31	Sharon Clayton	Sharon Clayton
# grinnell:13584	 grinnell:13584	317	ms107_dalva001	41.533322,-93.954395	Rock Island Depot, Van Meter, Iowa	Van Meter Railroad Depot|Van Meter Railroad Station|Western Union Telegraph & Cable Office|		1907	1907?	Two railroad employees are standing on a brick platform near a wooden depot with a train signal and telegraph office sign in the background. 1907 postmark. Number 11.|	Real photo, divided back.|Thesaurus for graphic materials I: subject terms (TGMI)	Dallas County (Iowa)|Van Meter (Iowa)|Transportation facilities|Railroad facilities|Railroads, Rock Island|Railroad stations|Depots		Reproduction not available	MS 107, http://www.lib.grinnell.edu/collections/specialcollections/Manuscripts/findingaids/SheetsMss.html	MS 107, isc_dalva001	1 postcard, b&w, 9 x 14 cm.	Scanned with HP Scanjet 4670 at 600 ppi. Archival master image available in tiff format.	2006-09-21	Purchased from Ivan Sheets	http://pdid.grinnell.edu/collectioninfo.aspx	Olson Photograph Co. (Plattsmouth, Neb.)|	lib_isc_dalva001-sc.jpg	Postcards	2007-06-28	2016-08-31	Sharon Clayton	Sharon Clayton
